,GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY.TV,DUR,HH.RTG,HH.SHR,HH.IMP,P2..IMP,HOME.TV,DUR.1,HH.RTG.1,HH.SHR.1,HH.IMP.1,P2..IMP.1,NAT.TV,CN.TV
1648,415,Mon,12/21/2015,8:00:00 PM,7:00:00 PM,CHA,HOU,FSSE-CHA,150,1.21,2,14.1,17,ROOT-SW,165,1.6,3,38,49,,
1649,416,Mon,12/21/2015,8:30:00 PM,7:30:00 PM,IND,SAS,FSI,135,3.8,6,41,NA,FSSW-SA,135,10.9,18,99,,,
1650,417,Mon,12/21/2015,9:00:00 PM,7:00:00 PM,PHX,UTA,FSA,150,1.3,2,23,32,ROOT-RM,150,2.81,5.5,25.2,,,
1651,418,Mon,12/21/2015,10:30:00 PM,7:30:00 PM,OKC,LAC,FSOK,150,7.2,14,50,NA,FSNP,150,1.8,3,100,122,NBA TV,
1652,419,Tue,12/22/2015,7:00:00 PM,7:00:00 PM,MEM,PHI,FSSE-MEM,150,2.14,3.1,13.7,NA,CSN-P,150,0.9,1,25,36,,
1653,420,Tue,12/22/2015,7:30:00 PM,7:30:00 PM,DET,MIA,FSD,150,1.9,3,34,42,FS-SUN,150,4.4,8,74,106,,
1654,421,Tue,12/22/2015,7:30:00 PM,7:30:00 PM,DAL,TOR,FSSW-DAL,150,0.9,2,23,32,,NA,,,,,NBA TV,
1655,422,Tue,12/22/2015,9:00:00 PM,7:00:00 PM,LAL,DEN,TWC SN/TWC D,150,1.9,3,102,145,ASE,150,1.5,3,24,31,,
1656,423,Wed,12/23/2015,7:00:00 PM,7:00:00 PM,BOS,CHA,CSN-NE,150,2.7,5,65,74,FSSE-CHA,135,1.25,2.3,14.5,17.4,,
1657,424,Wed,12/23/2015,7:00:00 PM,7:00:00 PM,NYK,CLE,MSG,150,2.7,5,198,238,FSO,150,11.3,20,169,245,,
1658,425,Wed,12/23/2015,7:00:00 PM,7:00:00 PM,SAC,IND,CSN-S,150,0.9,2,12,18,FSI,150,3.4,6,37,,,
1659,426,Wed,12/23/2015,7:00:00 PM,7:00:00 PM,HOU,ORL,ROOT-SW,150,1.3,3,30,40,FSFL,150,2.9,5,42,62,,
1660,427,Wed,12/23/2015,7:00:00 PM,7:00:00 PM,MEM,WAS,FSSE-MEM,150,2.05,3.2,13.3,NA,CSN-W,150,1.2,2,30,45,NBA TV,
1661,428,Wed,12/23/2015,7:30:00 PM,7:30:00 PM,DAL,BRK,FSSW-DAL,150,0.9,2,23,26,YES,165,0.3,1,24,35,,
1662,429,Wed,12/23/2015,8:00:00 PM,8:00:00 PM,DET,ATL,FSD,150,1.7,3,31,35,FSSE-ATL,180,1.2,2,29,44,,
1663,430,Wed,12/23/2015,8:00:00 PM,7:00:00 PM,PHI,MIL,CSN-P,135,1.2,2,35,41,FSNWI,150,2.1,4,18,,,
1664,431,Wed,12/23/2015,8:00:00 PM,7:00:00 PM,SAS,MIN,FSSW-SA,150,10.1,18,91,NA,FSNN-MIN,150,1.2,2,21,23,,
1665,432,Wed,12/23/2015,8:00:00 PM,7:00:00 PM,POR,NOP,KGW,180,3.8,7,43,65,FSNO,150,1.68,2.7,10.5,,,
1666,433,Wed,12/23/2015,9:00:00 PM,7:00:00 PM,DEN,PHX,ASE,150,1.1,2,17,22,FSA,150,1.6,3,29,45,,
1667,434,Wed,12/23/2015,10:30:00 PM,7:30:00 PM,UTA,GSW,ROOT-RM,150,3.481818182,7.454545455,31,NA,CSN-BA,150,9.5,19,237,344,,
1668,435,Wed,12/23/2015,10:30:00 PM,7:30:00 PM,OKC,LAL,FSOK,135,8.2,15.3,55.8,NA,TWC SN/TWC D,165,2.3,4,124,171,NBA TV,
1673,436,Fri,12/25/2015,12:00:00 PM,12:00:00 PM,NOP,MIA,,NA,,NA,NA,NA,FS-SUN,180,2.3,6,38,56,ESPN,
1669,437,Fri,12/25/2015,2:30:00 PM,1:30:00 PM,CHI,OKC,,NA,,NA,NA,NA,,NA,,,,,ABC,
1670,438,Fri,12/25/2015,5:00:00 PM,2:00:00 PM,CLE,GSW,,NA,,NA,NA,NA,,NA,,,,,ABC,
1671,439,Fri,12/25/2015,8:00:00 PM,7:00:00 PM,SAS,HOU,KMYS,150,9.4,18,86,NA,ROOT-SW,165,0.9,2,22,29,ESPN,
1672,440,Fri,12/25/2015,10:30:00 PM,7:30:00 PM,LAC,LAL,FSNP,150,0.5,1,29,50,TWC SN/TWC D,135,0.8,2,46,67,ESPN,
1675,441,Sat,12/26/2015,5:00:00 PM,4:00:00 PM,TOR,MIL,,NA,,NA,NA,NA,FSNWI,135,1.3,3,11,,,
1679,442,Sat,12/26/2015,7:30:00 PM,7:30:00 PM,NYK,ATL,MSG,150,1.8,3,134,182,FSSE-ATL,135,1.9,3,45,83,,
1676,443,Sat,12/26/2015,7:00:00 PM,7:00:00 PM,MEM,CHA,FSSE-MEM,135,1.5,2.222222222,9.333333333,NA,FSSE-CHA,135,0.677777778,1.222222222,7.888888889,8.888888889,,
1677,444,Sat,12/26/2015,7:00:00 PM,7:00:00 PM,MIA,ORL,FS-SUN,150,4,8,67,98,FSFL,150,2.2,4,33,46,,
1678,445,Sat,12/26/2015,7:00:00 PM,6:00:00 PM,HOU,NOP,ROOT-SW,150,2.1,4,50,69,FSNO,150,1.65,2.7,10.4,,NBA TV,
1680,446,Sat,12/26/2015,7:30:00 PM,7:30:00 PM,BOS,DET,CSN-NE,150,2.5,5,61,75,FSD,165,1.6,3,30,36,,
1674,447,Sat,12/26/2015,4:00:00 PM,4:00:00 PM,WAS,BRK,CSN-W,135,1.4,3,35,46,YES,135,0.6,1,47,52,,
1681,448,Sat,12/26/2015,8:00:00 PM,7:00:00 PM,IND,MIN,FSI,135,2.7,5,29,NA,FSNN-MIN+,135,0.9,2,16,24,,
1682,449,Sat,12/26/2015,8:30:00 PM,7:30:00 PM,CHI,DAL,WGN,150,5.1,10,178,301,FSSW-DAL,165,1.7,3,45,68,,
1683,450,Sat,12/26/2015,8:30:00 PM,7:30:00 PM,DEN,SAS,ASE,135,0.5,1,8,10,FSSW-SA,135,8.5,15,78,,,
1684,451,Sat,12/26/2015,9:00:00 PM,7:00:00 PM,PHI,PHX,CSN-P,165,0.5,1,14,25,FSA+,165,1.3,2,23,35,,
1685,452,Sat,12/26/2015,9:00:00 PM,7:00:00 PM,LAC,UTA,FSNP,165,0.9,2,49,73,ROOT-RM,165,2.909090909,6.363636364,25.81818182,,,
1686,453,Sat,12/26/2015,10:00:00 PM,7:00:00 PM,CLE,POR,FSO,135,4.7,9,70,107,KGW,150,6.4,12,73,110,,
1688,454,Sun,12/27/2015,7:00:00 PM,7:00:00 PM,NYK,BOS,MSG,150,1.3,2,95,110,CSN-NE,150,2.4,4,58,74,NBA TV,
1687,455,Sun,12/27/2015,6:00:00 PM,5:00:00 PM,LAL,MEM,TWC SN/TWC D,135,1.1,2,58,73,FSSE-MEM,135,1.833333333,2.666666667,11.77777778,,,
1689,456,Sun,12/27/2015,7:00:00 PM,6:00:00 PM,DEN,OKC,ASE,150,0.3,1,5,9,FSOK,NA,,,,,,
1690,457,Sun,12/27/2015,9:00:00 PM,6:00:00 PM,POR,SAC,CSN-POR,150,3.3,6,38,59,CSN-S,150,1.4,2,18,23,,
1691,458,Mon,12/28/2015,7:00:00 PM,7:00:00 PM,LAL,CHA,TWC SN/TWC D,135,1.2,3,63,74,FSSE-CHA,135,1.733333333,2.555555556,20.33333333,27,,
1692,459,Mon,12/28/2015,7:00:00 PM,7:00:00 PM,ATL,IND,FSSE-ATL,150,1.3,2,31,41,FSI,150,4.6,7,50,,,
1693,460,Mon,12/28/2015,7:00:00 PM,7:00:00 PM,NOP,ORL,FSNO,135,1.355555556,2,8.555555556,NA,FSFL,135,1.6,3,24,32,,
1694,461,Mon,12/28/2015,7:00:00 PM,7:00:00 PM,LAC,WAS,FSNP,150,0.8,2,42,57,CSN-W,150,0.8,1,19,28,,
1695,462,Mon,12/28/2015,7:30:00 PM,7:30:00 PM,BRK,MIA,YES,165,0.5,1,35,49,FS-SUN,165,4.7,8,78,117,,
1696,463,Mon,12/28/2015,8:00:00 PM,7:00:00 PM,TOR,CHI,,NA,,NA,NA,NA,CSN-C,150,3.7,6,130,204,NBA TV,
1697,464,Mon,12/28/2015,8:30:00 PM,7:30:00 PM,MIL,DAL,FSNWI,150,1.5,2,13,NA,FSSW-DAL,150,1.3,2,36,48,,
1698,465,Mon,12/28/2015,8:30:00 PM,7:30:00 PM,MIN,SAS,FSNN-MIN,150,1.5,3,26,28,FSSW-SA,150,10.3,17,93,,,
1699,466,Mon,12/28/2015,9:00:00 PM,7:00:00 PM,CLE,PHX,FSO,150,8.6,13,128,188,FSA,150,2,3,36,52,,
1700,467,Mon,12/28/2015,9:00:00 PM,7:00:00 PM,PHI,UTA,CSN-P,165,0.7,1,22,27,ROOT-RM,150,3.663636364,7.454545455,32.54545455,,,
1701,468,Mon,12/28/2015,10:30:00 PM,7:30:00 PM,SAC,GSW,CSN-S,150,3.6,6,49,76,CSN-BA,150,9.9,18,246,419,,
1702,469,Tue,12/29/2015,7:30:00 PM,7:30:00 PM,DET,NYK,FSD+,150,0.8,1,15,22,MSG,150,2.5,4,181,201,,
1703,470,Tue,12/29/2015,8:00:00 PM,7:00:00 PM,ATL,HOU,FSSE-ATL,150,1.9,3,46,57,ROOT-SW,150,1.6,3,38,53,,
1704,471,Tue,12/29/2015,8:00:00 PM,7:00:00 PM,MIA,MEM,FS-SUN,165,5,8,82,109,FSSE-MEM,180,2.841666667,3.916666667,18.08333333,,,
1705,472,Tue,12/29/2015,8:00:00 PM,7:00:00 PM,MIL,OKC,FSNWI,150,2.2,4,19,NA,FSOK,NA,,,,,NBA TV,
1706,473,Tue,12/29/2015,9:00:00 PM,7:00:00 PM,CLE,DEN,FSO,135,9,14,135,235,ASE,150,1.1,2,18,24,,
1707,474,Wed,12/30/2015,7:00:00 PM,7:00:00 PM,LAC,CHA,FSNP,150,0.6,1,35,44,FSSE-CHA,150,1.05,1.6,12.4,11.3,,
1708,475,Wed,12/30/2015,7:00:00 PM,7:00:00 PM,BRK,ORL,YES,150,0.4,1,28,37,FSFL,150,1.5,2,22,31,,
1709,476,Wed,12/30/2015,7:30:00 PM,7:30:00 PM,LAL,BOS,TWC SN/TWC D,165,2.1,4,113,155,CSN-NE,165,3.8,6,92,118,,
1710,477,Wed,12/30/2015,7:30:00 PM,7:30:00 PM,WAS,TOR,CSN-W+,165,0.5,1,12,13,,NA,,,,,NBA TV,
1711,478,Wed,12/30/2015,8:00:00 PM,7:00:00 PM,IND,CHI,FSI,150,5.7,10,62,NA,WGN,165,5.8,11,203,278,,
1712,479,Wed,12/30/2015,8:00:00 PM,7:00:00 PM,UTA,MIN,ROOT-RM,150,2.29,4.8,20.3,NA,FSNN-MIN,150,2,4,35,44,,
1713,480,Wed,12/30/2015,8:30:00 PM,7:30:00 PM,GSW,DAL,CSN-BA,150,6.9,14,171,263,FSSW-DAL,150,2.6,5,70,87,,
1714,481,Wed,12/30/2015,8:30:00 PM,7:30:00 PM,PHX,SAS,FSA,150,1.3,2,23,34,FSSW-SA,150,9.5,16,86,,,
1715,482,Wed,12/30/2015,10:00:00 PM,7:00:00 PM,DEN,POR,ASE,150,0.7,1,12,15,CSN-POR,150,3.6,6,41,57,NBA TV,
1716,483,Wed,12/30/2015,10:00:00 PM,7:00:00 PM,PHI,SAC,TCN-P,165,0.6,1,17,20,CSN-S,150,1.6,3,21,32,,
1717,484,Thu,12/31/2015,6:00:00 PM,6:00:00 PM,MIL,IND,FSNWI,150,1.4,3,13,NA,FSI,150,1.7,3,18,,,
1719,485,Thu,12/31/2015,7:00:00 PM,6:00:00 PM,GSW,HOU,CSN-BA,150,6.8,17,170,246,ROOT-SW,150,1.1,2,27,43,,
1718,486,Thu,12/31/2015,6:00:00 PM,6:00:00 PM,MIN,DET,FSNN-MIN+,150,0.5,1,8,17,FSD+,150,0.4,1,7,8,,
1720,487,Thu,12/31/2015,8:00:00 PM,7:00:00 PM,LAC,NOP,FSNP,150,0.6,1,31,44,FSNO,150,0.76,1.444444444,4.9,,,
1721,488,Thu,12/31/2015,8:00:00 PM,7:00:00 PM,PHX,OKC,FSA,135,1,2,18,29,FSOK,150,7.33,11.7,51.4,,,
1722,489,Thu,12/31/2015,9:00:00 PM,7:00:00 PM,POR,UTA,CSN-POR,150,1.8,4,21,35,ROOT-RM,150,2.333333333,4.666666667,20.55555556,,,
1723,490,Fri,1/1/2016,7:00:00 PM,7:00:00 PM,ORL,WAS,FSFL,135,1.2,2,18,27,CSN-W,135,0.9,2,23,32,,
1724,491,Fri,1/1/2016,7:30:00 PM,7:30:00 PM,DAL,MIA,FSSW-DAL,135,1.2,2,32,41,FS-SUN,150,4.8,8,79,125,,
1725,492,Fri,1/1/2016,7:30:00 PM,7:30:00 PM,CHA,TOR,FSSE-CHA,135,1.166666667,2,13.88888889,14,,NA,,,,,,
1726,493,Fri,1/1/2016,8:00:00 PM,7:00:00 PM,NYK,CHI,MSG,150,2.2,4,159,212,CSN-C,150,4.3,7,148,230,,
1727,494,Fri,1/1/2016,10:30:00 PM,7:30:00 PM,PHI,LAL,CSN-P,150,1.3,3,37,44,TWC SN/TWC D,150,2,4,110,137,,
1728,495,Sat,1/2/2016,3:00:00 PM,3:00:00 PM,BRK,BOS,YES,150,0.3,1,25,25,CSN-NE,150,1.7,4,42,51,,
1729,496,Sat,1/2/2016,5:00:00 PM,2:00:00 PM,PHX,SAC,FSA,150,1.6,3,29,49,CSN-S,150,1.8,4,24,31,NBA TV,
1730,497,Sat,1/2/2016,7:00:00 PM,7:00:00 PM,OKC,CHA,FSOK,165,5.990909091,9.818181818,42.09090909,NA,FSSE-CHA,150,1,1.8,11.9,15,,
1731,498,Sat,1/2/2016,7:00:00 PM,7:00:00 PM,DET,IND,FSD,150,1.9,3,35,40,FSI,150,2.3,4,25,,,
1732,499,Sat,1/2/2016,7:30:00 PM,7:30:00 PM,ORL,CLE,FSFL,150,1.3,2,20,21,FSO,150,10.3,15,153,240,,
1733,500,Sat,1/2/2016,8:00:00 PM,7:00:00 PM,MIL,MIN,FSNWI,150,2.1,3,19,NA,FSNN-MIN,150,1.5,3,25,37,,
1734,501,Sat,1/2/2016,8:30:00 PM,7:30:00 PM,NOP,DAL,FSNO,150,1.12,1.7,7,NA,FSSW-DAL,150,1.6,3,41,58,,
1735,502,Sat,1/2/2016,8:30:00 PM,7:30:00 PM,HOU,SAS,ROOT-SW,150,1.9,3,45,69,FSSW-SA,150,10.7,17,97,,NBA TV,
1736,503,Sat,1/2/2016,9:00:00 PM,7:00:00 PM,MEM,UTA,FSSE-MEM,150,1.64,2.5,10.4,NA,ROOT-RM,150,3.63,6.8,32.1,,,
1737,504,Sat,1/2/2016,10:30:00 PM,7:30:00 PM,DEN,GSW,ASE,165,0.5,1,9,11,CSN-BA,150,10.6,21,263,410,,
1738,505,Sat,1/2/2016,10:30:00 PM,7:30:00 PM,PHI,LAC,CSN-P,135,0.7,2,22,25,FSNP,150,1.3,2,69,90,,
1739,506,Sun,1/3/2016,3:30:00 PM,3:30:00 PM,ATL,NYK,FSSE-ATL,135,0.8,1,19,25,MSG,150,1.1,2,82,126,,
1740,507,Sun,1/3/2016,3:30:00 PM,3:30:00 PM,CHI,TOR,WGN,150,3.5,7,122,176,,NA,,,,,,
1741,508,Sun,1/3/2016,6:00:00 PM,6:00:00 PM,MIA,WAS,FS-SUN,150,4,7,67,97,CSN-W,135,1.1,2,26,42,,
1742,509,Sun,1/3/2016,9:00:00 PM,7:00:00 PM,POR,DEN,CSN-POR,150,3,5,34,56,ASE,165,0.2,0,4,6,,
1743,510,Sun,1/3/2016,9:30:00 PM,6:30:00 PM,PHX,LAL,FSA,135,1.1,2,21,30,TWC SN/TWC D,135,1.6,3,89,124,,
1744,511,Mon,1/4/2016,7:00:00 PM,7:00:00 PM,TOR,CLE,,NA,,NA,NA,NA,FSO,150,11.5,17,171,264,,
1745,512,Mon,1/4/2016,7:00:00 PM,7:00:00 PM,MIN,PHI,,NA,,NA,NA,NA,CSN-P,150,1.5,2,44,60,,
1746,513,Mon,1/4/2016,7:30:00 PM,7:30:00 PM,BOS,BRK,CSN-NE,150,2.1,3,50,63,YES,135,0.7,1,52,57,,
1747,514,Mon,1/4/2016,7:30:00 PM,7:30:00 PM,ORL,DET,FSFL,135,0.9,1,13,17,FSD+,150,1.1,2,21,24,,
1748,515,Mon,1/4/2016,7:30:00 PM,7:30:00 PM,IND,MIA,FSI,195,3.9,6,42,NA,FS-SUN,210,6.5,10,107,146,NBA TV,
1749,516,Mon,1/4/2016,8:00:00 PM,7:00:00 PM,SAS,MIL,FSSW-SA,150,12.4,19,112,NA,FSNWI,150,1.2,2,11,,,
1750,517,Mon,1/4/2016,8:00:00 PM,7:00:00 PM,SAC,OKC,CSN-S,150,1.6,3,22,30,FSOK,150,6.35,9.3,44.4,,,
1751,518,Mon,1/4/2016,9:00:00 PM,7:00:00 PM,HOU,UTA,ROOT-SW,165,1.6,3,39,59,ROOT-RM,150,4.26,7.9,37.7,,,
1752,519,Mon,1/4/2016,10:00:00 PM,7:00:00 PM,MEM,POR,FSSE-MEM,150,1.83,2.7,11.6,NA,CSN-POR,150,4.1,6,46,70,NBA TV,
1753,520,Mon,1/4/2016,10:30:00 PM,7:30:00 PM,CHA,GSW,FSSE-CHA,150,0.89,2.1,10.3,13.8,CSN-BA,135,10.1,17,250,390,,
1754,521,Tue,1/5/2016,8:00:00 PM,8:00:00 PM,NYK,ATL,MSG,165,2.5,4,185,232,FSSE-ATL,165,1.7,3,40,46,,
1755,522,Tue,1/5/2016,8:00:00 PM,7:00:00 PM,MIL,CHI,FSNWI,135,2.6,4,23,NA,CSN-C,150,1.3,2,43,70,NBA TV,
1756,523,Tue,1/5/2016,8:30:00 PM,7:30:00 PM,SAC,DAL,CSN-S,180,2.1,3,28,42,FSSW-DAL,180,2.1,3,55,69,,
1757,524,Tue,1/5/2016,10:30:00 PM,7:30:00 PM,GSW,LAL,CSN-BA,135,11.1,19,277,408,TWC SN/TWC D,150,3.1,5,168,225,NBA TV,
1758,525,Wed,1/6/2016,7:00:00 PM,7:00:00 PM,NYK,MIA,MSG,150,2,3,146,173,FS-SUN,150,4.1,7,67,88,ESPN,
1759,526,Wed,1/6/2016,7:00:00 PM,7:00:00 PM,IND,ORL,FSI,150,4,6,43,NA,FSFL,150,1.1,2,16,20,,
1760,527,Wed,1/6/2016,7:00:00 PM,7:00:00 PM,CLE,WAS,FSO,150,12,18,179,288,CSN-W,135,1.5,3,37,51,,
1761,528,Wed,1/6/2016,7:30:00 PM,7:30:00 PM,DET,BOS,FSD,165,2.3,4,42,60,CSN-NE,165,2.4,4,58,74,,
1762,529,Wed,1/6/2016,7:30:00 PM,7:30:00 PM,TOR,BRK,,NA,,NA,NA,NA,YES,135,0.3,1,26,33,,
1763,530,Wed,1/6/2016,8:00:00 PM,7:00:00 PM,DEN,MIN,ASE2,150,0.53,1,8.6,11.1,FSNN-MIN,150,1.5,3,25,38,,
1764,531,Wed,1/6/2016,8:00:00 PM,7:00:00 PM,DAL,NOP,FSSW-DAL,150,1.8,3,47,56,FSNO,150,1.56,2.1,9.7,,,
1765,532,Wed,1/6/2016,8:30:00 PM,7:30:00 PM,UTA,SAS,ROOT-RM,150,1.92,3.5,17,NA,FSSW-SA,135,11.2,17,101,,,
1766,533,Wed,1/6/2016,9:00:00 PM,7:00:00 PM,CHA,PHX,FSSE-CHA,150,1.21,2.2,13.9,16.1,FSA,135,1.6,3,30,44,,
1767,534,Wed,1/6/2016,9:30:00 PM,8:30:00 PM,MEM,OKC,,NA,,NA,NA,NA,FSOK,150,4.91,7.8,34.6,,ESPN,
1768,535,Wed,1/6/2016,10:00:00 PM,7:00:00 PM,LAC,POR,FSNP,150,1.2,2,65,81,KGW,150,5.8,10,66,103,,
1769,536,Thu,1/7/2016,7:00:00 PM,7:00:00 PM,ATL,PHI,FSSE-ATL,150,1,2,24,28,CSN-P,150,1.1,2,33,45,,
1770,537,Thu,1/7/2016,8:00:00 PM,7:00:00 PM,BOS,CHI,,NA,,NA,NA,NA,CSN-C,135,3.1,5,107,164,TNT,
1771,538,Thu,1/7/2016,8:00:00 PM,7:00:00 PM,UTA,HOU,ROOT-RM,150,3.67,6.9,32.4,NA,ROOT-SW,150,1.9,3,45,58,,
1772,539,Thu,1/7/2016,10:30:00 PM,7:30:00 PM,LAL,SAC,TWC SN/TWC D,150,1.1,2,62,87,,NA,,,,,TNT,
1773,540,Fri,1/8/2016,7:00:00 PM,7:00:00 PM,TOR,WAS,,NA,,NA,NA,NA,CSN-W,150,0.7,1,17,30,,
1774,541,Fri,1/8/2016,7:30:00 PM,7:30:00 PM,ORL,BRK,FSFL,135,1.5,2,22,33,YES,135,0.4,1,32,34,,
1775,542,Fri,1/8/2016,8:00:00 PM,7:00:00 PM,DEN,MEM,ASE2,150,0.44,1,6.7,9,FSSE-MEM,165,3.409090909,4.909090909,21.63636364,,,
1776,543,Fri,1/8/2016,8:00:00 PM,7:00:00 PM,CLE,MIN,FSO,150,10.1,16,151,231,,NA,,,,,ESPN,
1777,544,Fri,1/8/2016,8:00:00 PM,7:00:00 PM,IND,NOP,FSI,150,4,7,43,NA,FSNO,150,1.21,1.8,7.9,,,
1778,545,Fri,1/8/2016,8:00:00 PM,7:00:00 PM,DAL,MIL,FSSW-DAL,150,2.1,4,55,69,FSNWI,150,3.4,6,30,,,
1779,546,Fri,1/8/2016,8:30:00 PM,7:30:00 PM,NYK,SAS,MSG,135,3,5,219,282,FSSW-SA,135,10.8,17,98,,,
1780,547,Fri,1/8/2016,9:30:00 PM,7:30:00 PM,MIA,PHX,FS-SUN,165,3.6,7,59,87,FSA,150,1.6,3,30,45,,
1781,548,Fri,1/8/2016,10:00:00 PM,7:00:00 PM,GSW,POR,CSN-BA,135,9.1,17,226,353,CSN-POR,150,4.1,7,47,71,,
1782,549,Fri,1/8/2016,10:30:00 PM,7:30:00 PM,OKC,LAL,FSOK,165,5.790909091,10.72727273,40.36363636,NA,TWC SN/TWC D,150,1.4,2,75,105,ESPN,
1783,550,Sat,1/9/2016,3:30:00 PM,12:30:00 PM,CHA,LAC,FSSE-CHA,150,0.16,0.2,1.7,2,FSNP,135,0.5,1,28,30,,
1784,551,Sat,1/9/2016,5:00:00 PM,5:00:00 PM,CHI,ATL,WGN,150,3.8,7,132,183,FSSE-ATL,150,0.9,1,20,27,,
1785,552,Sat,1/9/2016,7:00:00 PM,7:00:00 PM,WAS,ORL,CSN-W,150,0.7,1,16,20,FSFL,150,1.2,2,18,28,,
1786,553,Sat,1/9/2016,7:30:00 PM,7:30:00 PM,BRK,DET,YES,135,0.4,1,30,36,FSD,135,1.8,3,33,39,,
1787,554,Sat,1/9/2016,7:30:00 PM,7:30:00 PM,TOR,PHI,,NA,,NA,NA,NA,CSN-P,135,0.6,1,16,19,,
1788,555,Sat,1/9/2016,9:00:00 PM,7:00:00 PM,MIA,UTA,FS-SUN,150,3,5,49,72,ROOT-RM,150,3.53,6.5,31,,,
1789,556,Sat,1/9/2016,10:00:00 PM,7:00:00 PM,GSW,SAC,CSN-BA,150,8.3,15,206,323,CSN-S,150,3,5,40,73,,
1790,557,Sun,1/10/2016,3:30:00 PM,2:30:00 PM,DAL,MIN,FSSW-DAL,150,1.2,2,31,39,FSNN-MIN,150,0.4,1,8,13,,
1791,558,Sun,1/10/2016,3:30:00 PM,12:30:00 PM,NOP,LAC,FSNO,150,0.91,1.4,5.6,NA,FSNP,180,1,2,56,69,,
1792,559,Sun,1/10/2016,6:00:00 PM,6:00:00 PM,CLE,PHI,FSO,150,8.4,12,125,206,CSN-P,150,0.8,1,23,34,,
1793,560,Sun,1/10/2016,6:00:00 PM,5:00:00 PM,BOS,MEM,CSN-NE,165,1.4,2,33,45,FSSE-MEM,150,1.82,2.4,11.7,,,
1794,561,Sun,1/10/2016,7:00:00 PM,6:00:00 PM,IND,HOU,FSI,165,3.2,4,35,NA,ROOT-SW,165,1.4,2,33,53,,
1795,562,Sun,1/10/2016,7:30:00 PM,7:30:00 PM,MIL,NYK,FSNWI,150,0.9,1,8,NA,MSG,150,2.5,4,185,241,,
1796,563,Sun,1/10/2016,8:00:00 PM,6:00:00 PM,CHA,DEN,FSSE-CHA,150,0.62,1,7.2,9,ASE2,150,0.71,1.375,11.2,18,NBA TV,
1797,564,Sun,1/10/2016,9:00:00 PM,6:00:00 PM,OKC,POR,FSOK,150,7.34,11.3,51.4,NA,CSN-POR,150,3.6,6,41,61,,
1798,565,Sun,1/10/2016,9:30:00 PM,6:30:00 PM,UTA,LAL,ROOT-RM,135,3.522222222,6.333333333,31.11111111,NA,TWC SN/TWC D,150,2,3,108,146,,
1799,566,Mon,1/11/2016,7:30:00 PM,7:30:00 PM,SAS,BRK,FSSW-SA,135,8.9,13,81,NA,YES,135,0.6,1,48,50,,
1800,567,Mon,1/11/2016,8:00:00 PM,7:00:00 PM,WAS,CHI,CSN-W,135,0.9,2,22,34,CSN-C,150,3.5,5,121,178,,
1801,568,Mon,1/11/2016,10:30:00 PM,7:30:00 PM,MIA,GSW,FS-SUN,150,4.3,9,71,96,CSN-BA,150,10.2,17,254,389,,
1802,569,Tue,1/12/2016,7:00:00 PM,7:00:00 PM,PHX,IND,FSA,165,1.2,2,23,34,FSI,165,3.3,5,35,,,
1803,570,Tue,1/12/2016,7:30:00 PM,7:30:00 PM,SAS,DET,FSSW-SA,165,9.8,15,89,NA,FSD,165,1.8,3,33,42,,
1804,571,Tue,1/12/2016,7:30:00 PM,7:30:00 PM,BOS,NYK,CSN-NE,150,1.4,2,35,42,MSG,150,2.7,4,199,254,,
1805,572,Tue,1/12/2016,8:00:00 PM,7:00:00 PM,HOU,MEM,ROOT-SW,150,1.6,2,37,60,FSSE-MEM,150,2.65,3.5,16.8,,,
1806,573,Tue,1/12/2016,8:00:00 PM,7:00:00 PM,CHI,MIL,CSN-C,165,3.8,6,130,185,FSNWI,165,2.8,4,25,,NBA TV,
1807,574,Tue,1/12/2016,8:00:00 PM,7:00:00 PM,OKC,MIN,FSOK,150,7.48,11.2,52.6,NA,FSNN-MIN,150,0.8,1,13,21,,
1808,575,Tue,1/12/2016,8:30:00 PM,7:30:00 PM,CLE,DAL,FSO,165,12.7,19,189,268,FSSW-DAL,165,3,5,81,104,,
1809,576,Tue,1/12/2016,10:30:00 PM,7:30:00 PM,NOP,LAL,FSNO,150,1.22,2.1,7.6,NA,TWC SN/TWC D,135,2.4,4,129,159,NBA TV,
1810,577,Wed,1/13/2016,7:00:00 PM,7:00:00 PM,ATL,CHA,FSSE-ATL,135,1.3,2,31,45,FSSE-CHA,135,0.84,1.4,9.9,9.4,,
1811,578,Wed,1/13/2016,7:00:00 PM,7:00:00 PM,MIL,WAS,FSNWI,150,1.9,3,17,NA,CSN-W,150,1.1,2,26,43,,
1812,579,Wed,1/13/2016,7:30:00 PM,7:30:00 PM,NYK,BRK,MSG,150,2.7,4,197,226,YES,150,0.8,1,56,68,,
1813,580,Wed,1/13/2016,8:00:00 PM,8:00:00 PM,IND,BOS,FSI,150,2.4,4,25,NA,CSN-NE,150,1.4,2,34,52,ESPN,
1814,581,Wed,1/13/2016,8:00:00 PM,7:00:00 PM,MIN,HOU,FSNN-MIN,165,1.1,2,18,25,ROOT-SW,165,1.8,3,42,67,,
1815,582,Wed,1/13/2016,8:00:00 PM,7:00:00 PM,DAL,OKC,FSSW-DAL,165,1.8,3,48,67,FSOK,165,8.127272727,12,57,,,
1816,583,Wed,1/13/2016,9:00:00 PM,7:00:00 PM,GSW,DEN,CSN-BA,150,9.7,19,241,379,ASE,150,1.7,3,27,34,,
