GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,NAT TV,CN TV
243,Sun,11/30/2014,3:30:00 PM,3:30:00 PM,GSW,DET,CSN-BA,150,2.6,6,64,102,FSD+,,,,,,,
244,Sun,11/30/2014,6:00:00 PM,3:00:00 PM,MEM,SAC,SSO-MEM,150,3.37,4.6,22.1,,CSN-S,150,2.4,4,32,47,,
245,Sun,11/30/2014,7:30:00 PM,7:30:00 PM,MIA,NYK,SunSpM,165,5.4,8,89,118,MSG,165,1.7,3,129,183,,
246,Sun,11/30/2014,8:00:00 PM,6:00:00 PM,ORL,PHX,FSFL,165,0.3,,5,5,FSA,150,1.2,2,22,30,,
247,Sun,11/30/2014,9:00:00 PM,6:00:00 PM,MIN,POR,FSNN-MIN,150,0.9,1,16,19,CSN-POR,150,3.3,5,38,58,,
248,Sun,11/30/2014,9:30:00 PM,6:30:00 PM,TOR,LAL,,,,,,,TWC SN/TWC D,165,2.2,3,119,194,,
249,Mon,12/1/2014,7:00:00 PM,7:00:00 PM,SAS,PHI,FSSW-SA,150,7.7,12,71,,CSN-P,150,0.4,1,12,15,,
250,Mon,12/1/2014,7:00:00 PM,7:00:00 PM,MIA,WAS,SunSpM,150,4.3,7,70,89,CSN-W,150,1.2,2,29,35,,
251,Mon,12/1/2014,9:00:00 PM,7:00:00 PM,DEN,UTA,ASE2,150,0.66,1.11,10.4,11.9,ROOT,150,3.32,5.6,29.8,,,
252,Mon,12/1/2014,10:30:00 PM,7:30:00 PM,MIN,LAC,FSNN-MIN,150,0.7,2,12,15,FSNP,150,1.5,2,83,111,,
253,Tue,12/2/2014,7:00:00 PM,7:00:00 PM,MIL,CLE,FSNWI,150,3.3,6,30,,FSO,150,8.9,13,131,199,,
254,Tue,12/2/2014,7:30:00 PM,7:30:00 PM,BOS,ATL,CSN-NE,150,2,3,48,67,SSO-ATL,135,1.9,3,45,52,,
255,Tue,12/2/2014,7:30:00 PM,7:30:00 PM,LAL,DET,TWC SN/TWC D,150,2.1,4,118,193,FSD,150,0.8,1,14,19,,
256,Tue,12/2/2014,7:30:00 PM,7:30:00 PM,BRK,NYK,YES,165,0.7,1,49,62,MSG,165,2.3,4,169,201,,
257,Tue,12/2/2014,8:00:00 PM,7:00:00 PM,DAL,CHI,FSSW-DAL,180,3.1,5,82,125,CSN-C,195,5.5,8,191,266,,
258,Tue,12/2/2014,8:00:00 PM,7:00:00 PM,OKC,NOP,FSOK,165,8.3,12.27,58.54,,FSNO,165,2.53,3.63,16.36,,,
259,Tue,12/2/2014,9:00:00 PM,7:00:00 PM,POR,DEN,KGW,150,8.4,15,96,135,ASE,150,1.5,2,23,28,,
260,Tue,12/2/2014,9:00:00 PM,7:00:00 PM,IND,PHX,FSI,150,3.7,7,40,,FSA,135,2.1,3,39,76,,
261,Tue,12/2/2014,10:00:00 PM,7:00:00 PM,TOR,SAC,,,,,,,CSN-S,150,3.6,5,48,70,,
262,Tue,12/2/2014,10:30:00 PM,7:30:00 PM,ORL,GSW,FSFL,135,0.5,1,7,8,CSN-BA,150,4.7,8,116,159,,
263,Wed,12/3/2014,7:00:00 PM,7:00:00 PM,CHI,CHA,CSN-C,150,3.5,6,121,158,SSO-CHA,150,0.87,1.5,10,11.1,,
264,Wed,12/3/2014,7:00:00 PM,7:00:00 PM,LAL,WAS,TWC SN/TWC D,135,2.1,5,118,169,CSN-W,135,2,3,48,56,,
265,Wed,12/3/2014,7:30:00 PM,7:30:00 PM,DET,BOS,FSD,165,1.1,2,19,18,CSN-NE,165,2,3,48,67,,
266,Wed,12/3/2014,7:30:00 PM,7:30:00 PM,SAS,BRK,FSSW-SA,150,10.5,16,96,,YES,165,0.9,1,66,71,,
267,Wed,12/3/2014,7:30:00 PM,7:30:00 PM,ATL,MIA,SSO-ATL,150,1.4,2,33,39,SunSpM,165,5,8,81,121,,
268,Wed,12/3/2014,8:00:00 PM,7:00:00 PM,MEM,HOU,SSO-MEM,150,3.25,4.5,21.3,,CSN-H,150,2,3,47,73,NBA TV,
269,Wed,12/3/2014,8:00:00 PM,7:00:00 PM,DAL,MIL,FSSW-DAL,150,3.4,5,89,126,FSNWI,165,2.7,4,24,,,
270,Wed,12/3/2014,8:00:00 PM,7:00:00 PM,PHI,MIN,CSN-P,150,1,1,28,41,FSNN-MIN+,,,,,,,
271,Wed,12/3/2014,9:00:00 PM,7:00:00 PM,TOR,UTA,,,,,,,ROOT,150,2.97,5.2,26.5,,,
272,Wed,12/3/2014,10:30:00 PM,7:30:00 PM,ORL,LAC,FSFL,150,0.2,,3,4,FSNP,150,1.1,2,59,75,,
273,Thu,12/4/2014,8:00:00 PM,8:00:00 PM,CLE,NYK,FSO,165,6.3,10,93,128,,,,,,,TNT,
274,Thu,12/4/2014,10:00:00 PM,7:00:00 PM,IND,POR,FSI,135,2.5,5,27,,CSN-POR,150,4.8,8,55,82,,
275,Thu,12/4/2014,10:30:00 PM,7:30:00 PM,NOP,GSW,,,,,,,,,,,,,TNT,
276,Fri,12/5/2014,7:00:00 PM,7:00:00 PM,NYK,CHA,MSG,150,1.2,2,92,119,SSO-CHA,150,0.72,1.3,8.6,9.4,,
277,Fri,12/5/2014,7:00:00 PM,7:00:00 PM,OKC,PHI,FSOK,150,6.65,11.7,46.8,,CSN-P,150,1.1,2,34,44,,
278,Fri,12/5/2014,7:00:00 PM,7:00:00 PM,DEN,WAS,ASE2,150,0.22,1,3.33,4.66,CSN-W,150,1.4,3,34,53,NBA TV,
279,Fri,12/5/2014,7:30:00 PM,7:30:00 PM,LAL,BOS,TWC SN/TWC D,135,1.4,3,78,124,CSN-NE,135,2.2,4,54,75,,
280,Fri,12/5/2014,7:30:00 PM,7:30:00 PM,ATL,BRK,SSO-ATL,135,1.1,2,25,33,YES,135,0.4,1,29,33,,
281,Fri,12/5/2014,7:30:00 PM,7:30:00 PM,CLE,TOR,FSO,150,7.7,13,113,168,,,,,,,,
282,Fri,12/5/2014,8:00:00 PM,7:00:00 PM,SAS,MEM,FSSW-SA,150,11.8,20,108,,SSO-MEM,150,3.95,5.4,25.9,,,
283,Fri,12/5/2014,8:00:00 PM,7:00:00 PM,HOU,MIN,CSN-H,180,1.9,3,43,58,FSNN-MIN,180,1.1,2,19,23,,
284,Fri,12/5/2014,8:30:00 PM,7:30:00 PM,PHX,DAL,FSA,150,1.6,3,29,42,FSSW-DAL,150,2.3,4,61,81,,
285,Fri,12/5/2014,8:30:00 PM,7:30:00 PM,MIA,MIL,SunSpM,150,4.9,8,81,112,FSNWI,150,3,5,27,,,
286,Fri,12/5/2014,9:00:00 PM,7:00:00 PM,ORL,UTA,FSFL,150,0.6,1,9,9,ROOT,150,2.75,5.1,24.7,,,
287,Fri,12/5/2014,10:00:00 PM,7:00:00 PM,IND,SAC,FSI,180,3.8,8,41,,CSN-S,150,3.1,5,42,57,NBA TV,
288,Sat,12/6/2014,7:30:00 PM,7:30:00 PM,PHI,DET,TCN-P,165,1,2,30,33,FSD+,165,1,2,19,24,,
289,Sat,12/6/2014,8:00:00 PM,7:00:00 PM,GSW,CHI,CSN-BA,150,3.4,8,83,128,WGN,150,6.3,11,220,323,,
290,Sat,12/6/2014,8:00:00 PM,7:00:00 PM,PHX,HOU,FSA+,165,0.745,1.36,13.63,17.09,CSN-H,165,1.2,2,27,36,,
291,Sat,12/6/2014,8:30:00 PM,7:30:00 PM,MIN,SAS,FSNN-MIN,150,0.4,1,8,10,FSSW-SA,135,7.6,13,69,,,
292,Sat,12/6/2014,10:00:00 PM,7:00:00 PM,ORL,SAC,FSFL,150,0.3,1,5,5,CSN-S,150,2,3,27,45,,
293,Sat,12/6/2014,10:30:00 PM,7:30:00 PM,NOP,LAC,FSNO,135,0.833,1,5.77,,FSNP,135,1.4,3,80,105,,
294,Sun,12/7/2014,1:00:00 PM,1:00:00 PM,WAS,BOS,CSN-W,150,0.6,1,13,13,CSN-NE,150,1,2,24,26,,
295,Sun,12/7/2014,3:30:00 PM,3:30:00 PM,DEN,ATL,ASE,150,0.2,,2,2,,,,,,,,
296,Sun,12/7/2014,6:00:00 PM,5:00:00 PM,MIA,MEM,SunSpM,135,3.3,6,53,75,SSO-MEM,150,2.97,4.2,19.4,,,
297,Sun,12/7/2014,6:00:00 PM,6:00:00 PM,OKC,DET,FSOK,150,5.67,9,40,,,,,,,,,
298,Sun,12/7/2014,7:30:00 PM,6:30:00 PM,MIL,DAL,FSNWI,135,0.4,1,4,,FSSW-DAL,135,1.6,3,42,66,,
299,Sun,12/7/2014,7:30:00 PM,7:30:00 PM,POR,NYK,CSN-POR,150,3.6,7,42,63,MSG,150,1.6,2,117,155,,
300,Sun,12/7/2014,9:30:00 PM,6:30:00 PM,NOP,LAL,FSNO,150,0.4125,1,2.625,,TWC SN/TWC D,150,1.3,2,70,119,,
301,Mon,12/8/2014,7:00:00 PM,7:00:00 PM,ATL,IND,,,,,,,FSI,135,1.4,2,15,,,
302,Mon,12/8/2014,7:00:00 PM,7:00:00 PM,BOS,WAS,CSN-NE,195,2.1,3,51,65,CSN-W,195,1.4,2,35,48,,
303,Mon,12/8/2014,7:30:00 PM,7:30:00 PM,CLE,BRK,FSO,150,9.5,14,140,221,YES,150,1.6,2,118,179,,
304,Mon,12/8/2014,7:30:00 PM,7:30:00 PM,DEN,TOR,ASE,165,0.8,1,12,15,,,,,,,NBA TV,
305,Mon,12/8/2014,8:00:00 PM,7:00:00 PM,GSW,MIN,CSN-BA,135,3.2,6,79,112,FSNN-MIN,150,0.6,1,11,14,,
306,Mon,12/8/2014,10:00:00 PM,7:00:00 PM,UTA,SAC,ROOT,150,3.05,5.5,27.1,,CSN-S,150,2.8,4,38,62,,
307,Mon,12/8/2014,10:30:00 PM,7:30:00 PM,PHX,LAC,FSA,180,1.6,3,29,38,FSNP,180,1.6,3,90,126,,
308,Tue,12/9/2014,7:00:00 PM,7:00:00 PM,TOR,CLE,,,,,,,FSO,150,9.9,15,145,205,,
309,Tue,12/9/2014,7:30:00 PM,7:30:00 PM,POR,DET,CSN-POR,150,3,6,34,61,FSD,135,1.6,2,29,38,,
310,Tue,12/9/2014,8:00:00 PM,7:00:00 PM,DAL,MEM,FSSW-DAL,150,2.7,4,71,104,SSO-MEM,150,3.56,5.1,23.2,,,
311,Tue,12/9/2014,8:00:00 PM,7:00:00 PM,NYK,NOP,MSG,150,1.8,3,136,171,FSNO,150,2.36,3.4,15.1,,,
312,Tue,12/9/2014,8:00:00 PM,7:00:00 PM,MIL,OKC,FSNWI,150,2.2,4,19,,FSOK,150,7.45,11.5,52.4,,,
313,Tue,12/9/2014,9:00:00 PM,7:00:00 PM,MIA,PHX,SunSpM,150,5.9,10,97,116,FSA,135,2,3,26,57,,
314,Tue,12/9/2014,9:00:00 PM,7:00:00 PM,SAS,UTA,FSSW-SA,150,9.4,15,85,,ROOT,150,3.7,6.5,33.1,,,
315,Tue,12/9/2014,10:30:00 PM,7:30:00 PM,SAC,LAL,CSN-S,150,4.4,7,59,89,TWC SN/TWC D,150,2.6,4,144,202,,
316,Wed,12/10/2014,7:00:00 PM,7:00:00 PM,BOS,CHA,CSN-NE,150,2.1,4,52,61,SSO-CHA,150,1.58,2.6,18.6,21.3,,
317,Wed,12/10/2014,7:00:00 PM,7:00:00 PM,LAC,IND,FSNP,150,1.1,3,59,80,FSI,150,2.8,5,30,,,
318,Wed,12/10/2014,7:00:00 PM,7:00:00 PM,WAS,ORL,CSN-W,135,1.6,3,39,54,FSFL,135,1,2,15,15,,
319,Wed,12/10/2014,7:30:00 PM,7:30:00 PM,PHI,ATL,CSN-P,135,0.5,1,16,17,SSO-ATL,135,1.1,2,26,34,,
320,Wed,12/10/2014,8:00:00 PM,7:00:00 PM,BRK,CHI,YES,150,0.3,,24,31,CSN-C,150,5,8,173,226,,
321,Wed,12/10/2014,8:00:00 PM,7:00:00 PM,POR,MIN,CSN-POR,150,3.7,7,43,58,FSNN-MIN,150,1.9,3,32,41,,
322,Wed,12/10/2014,8:00:00 PM,7:00:00 PM,NYK,SAS,MSG,150,1.2,2,92,127,FSSW-SA,150,9.3,15,85,,ESPN,
323,Wed,12/10/2014,8:30:00 PM,7:30:00 PM,NOP,DAL,FSNO,,,,,,FSSW-DAL,150,2,3,53,73,,
324,Wed,12/10/2014,10:30:00 PM,7:30:00 PM,HOU,GSW,CSN-H,150,2.6,5,60,81,CSN-BA,150,6.4,11,159,245,,
325,Wed,12/10/2014,10:30:00 PM,8:30:00 PM,MIA,DEN,SunSpM,150,3,7,49,67,ASE,150,0.3,1,4,7,ESPN,
326,Thu,12/11/2014,8:00:00 PM,7:00:00 PM,CLE,OKC,,,,,,,,,,,,,TNT,
327,Thu,12/11/2014,10:30:00 PM,7:30:00 PM,HOU,SAC,,,,,,,,,,,,,TNT,
328,Fri,12/12/2014,7:00:00 PM,6:00:00 PM,POR,CHI,CSN-POR,150,1.6,4,19,22,CSN-C,150,4.1,8,144,182,ESPN,
329,Fri,12/12/2014,7:00:00 PM,7:00:00 PM,LAC,WAS,FSW-LAC,150,0.9,2,48,67,CSN-W,150,2.5,5,61,84,,
330,Fri,12/12/2014,7:30:00 PM,7:30:00 PM,ORL,ATL,FSFL,150,1.2,2,17,22,SSO-ATL,150,1.5,2,34,42,,
331,Fri,12/12/2014,7:30:00 PM,7:30:00 PM,NYK,BOS,MSG,150,1.3,2,94,132,CSN-NE,120,2.4,4,59,82,,
332,Fri,12/12/2014,7:30:00 PM,7:30:00 PM,PHI,BRK,CSN-P,135,0.8,1,25,31,YES,150,0.2,,15,15,,
333,Fri,12/12/2014,7:30:00 PM,7:30:00 PM,IND,TOR,FSI,150,2,4,21,,,,,,,,,
334,Fri,12/12/2014,8:00:00 PM,7:00:00 PM,CHA,MEM,SSO-CHA,150,1.38,2.5,16,21.5,SSO-MEM,150,4.7,7,30.6,,,
335,Fri,12/12/2014,8:00:00 PM,7:00:00 PM,OKC,MIN,FSOK,165,5.4,8.9,37.9,,FSNN-MIN,150,0.8,2,14,19,,
336,Fri,12/12/2014,8:00:00 PM,7:00:00 PM,CLE,NOP,FSO,150,7.7,12,113,161,FSNO,150,2.49,3.9,16.1,,,
337,Fri,12/12/2014,9:00:00 PM,7:00:00 PM,DET,PHX,FSD+,150,0.7,1,13,14,FSA,150,2,4,38,51,,
338,Fri,12/12/2014,9:00:00 PM,7:00:00 PM,MIA,UTA,SunSpM,165,4.6,8,75,104,ROOT,150,2.88,5.6,25.6,,,
339,Fri,12/12/2014,9:30:00 PM,8:30:00 PM,LAL,SAS,TWC SN/TWC D,165,2.3,4,126,196,KENS,180,9.5,18,87,,ESPN,
340,Sat,12/13/2014,2:00:00 PM,1:00:00 PM,GSW,DAL,CSN-BA,165,3.4,11,85,107,FSSW-DAL,165,1.9,5,50,64,,
341,Sat,12/13/2014,7:00:00 PM,7:00:00 PM,BRK,CHA,YES,150,0.5,1,37,53,SSO-CHA,150,0.96,1.9,11.1,15.3,,
342,Sat,12/13/2014,7:00:00 PM,7:00:00 PM,POR,IND,CSN-POR,150,2,4,24,34,FSI,135,1.7,3,19,,,
343,Sat,12/13/2014,7:00:00 PM,7:00:00 PM,ATL,ORL,SSO-ATL,150,1.3,2,31,33,FSFL,150,0.8,1,11,11,,
344,Sat,12/13/2014,7:30:00 PM,6:30:00 PM,LAC,MIL,FSNP,165,1.3,3,69,90,FSNWI,165,2.2,4,19,,,
345,Sat,12/13/2014,7:30:00 PM,7:30:00 PM,MEM,PHI,SSO-MEM,150,4.25,6.5,27.7,,CSN-P,180,0.9,2,28,38,,
346,Sat,12/13/2014,8:00:00 PM,7:00:00 PM,DEN,HOU,ASE2,150,0.78,1.5,12.5,19.2,CSN-H,165,1.8,3,41,61,,
347,Sat,12/13/2014,10:00:00 PM,7:00:00 PM,DET,SAC,FSD,150,1.3,2,24,31,CSN-S,135,2.38,4.5,32.2,36.4,NBA TV,
348,Sun,12/14/2014,6:00:00 PM,5:00:00 PM,GSW,NOP,CSN-BA,180,4.3,9,106,153,FSNO,150,0.89,1.66,5.66,,,
349,Sun,12/14/2014,6:00:00 PM,6:00:00 PM,CHI,MIA,WGN,150,5.7,10,197,263,SunSpM,150,3.6,6,60,88,,
350,Sun,12/14/2014,6:00:00 PM,6:00:00 PM,UTA,WAS,ROOT,150,1.78,4,15.9,,CSN-W,135,1.5,2,35,42,,
351,Sun,12/14/2014,7:00:00 PM,6:00:00 PM,LAL,MIN,TWC SN/TWC D,150,2.1,4,117,199,FSNN-MIN,150,0.8,1,13,15,,
352,Sun,12/14/2014,7:00:00 PM,6:00:00 PM,PHX,OKC,FSA,150,0.8,1,14,21,FSOK,150,6.33,8.9,44.7,,,
353,Sun,12/14/2014,7:30:00 PM,7:30:00 PM,TOR,NYK,,,,,,,MSG,150,2,3,151,185,,
354,Sun,12/14/2014,8:00:00 PM,6:00:00 PM,SAS,DEN,FSSW-SA,165,5.2,8,47,,ASE,165,0.4,1,7,10,,
355,Mon,12/15/2014,7:00:00 PM,7:00:00 PM,CHA,CLE,SSO-CHA,135,0.83,1.22,9.66,10.44,FSO,135,8.7,13,127,179,NBA TV,
356,Mon,12/15/2014,7:00:00 PM,7:00:00 PM,LAL,IND,TWC SN/TWC D,150,1.5,3,82,97,FSI,135,2.6,4,28,,,
357,Mon,12/15/2014,7:00:00 PM,7:00:00 PM,BOS,PHI,CSN-NE,150,1.5,2,37,47,CSN-P,150,0.4,1,12,15,,
358,Mon,12/15/2014,7:30:00 PM,7:30:00 PM,CHI,ATL,CSN-C,150,3.4,5,119,173,SSO-ATL,135,1.3,2,31,28,,
359,Mon,12/15/2014,7:30:00 PM,7:30:00 PM,ORL,TOR,FSFL,150,0.6,1,9,14,,,,,,,,
360,Mon,12/15/2014,9:00:00 PM,7:00:00 PM,MIL,PHX,FSNWI,165,2.5,4,23,,FSA,165,1.3,2,24,36,,
361,Mon,12/15/2014,10:00:00 PM,7:00:00 PM,SAS,POR,FSSW-SA,150,6.2,12,56,,CSN-POR,150,4.5,7,52,73,,
362,Mon,12/15/2014,10:30:00 PM,7:30:00 PM,DET,LAC,FSD,150,0.7,1,14,17,FSNP,150,1.2,2,64,83,,
363,Tue,12/16/2014,7:00:00 PM,7:00:00 PM,MIN,WAS,FSNN-MIN+,,,,,,CSN-W,150,1.9,3,47,67,,
364,Tue,12/16/2014,7:30:00 PM,7:30:00 PM,MIA,BRK,SunSpM,195,5.1,8,84,136,YES,180,0.6,1,44,46,,
365,Tue,12/16/2014,8:00:00 PM,7:00:00 PM,GSW,MEM,CSN-BA,150,2.7,5,66,103,SSO-MEM,,,,,,,
366,Tue,12/16/2014,8:00:00 PM,7:00:00 PM,UTA,NOP,ROOT,150,3.21,6.2,28.7,,FSNO,150,2.24,3.3,14.4,,,
367,Tue,12/16/2014,8:00:00 PM,8:00:00 PM,DAL,NYK,FSSW-DAL,135,2.5,4,64,87,MSG,135,2.1,3,157,204,ESPN,
368,Tue,12/16/2014,10:30:00 PM,7:30:00 PM,OKC,SAC,FSOK,150,3.33,7,23.6,,CSN-S,150,1.8,3,25,33,ESPN,
369,Wed,12/17/2014,7:00:00 PM,7:00:00 PM,PHX,CHA,FSA,135,1.2,2,21,37,SSO-CHA,135,1.55,2.44,17.88,24.22,,
370,Wed,12/17/2014,7:00:00 PM,7:00:00 PM,ATL,CLE,SSO-ATL,135,1.5,2,35,44,FSO,135,8.4,12,123,172,,
371,Wed,12/17/2014,7:30:00 PM,7:30:00 PM,ORL,BOS,FSFL,135,0.9,1,14,20,CSN-NE,135,2.6,4,64,94,,
372,Wed,12/17/2014,7:30:00 PM,7:30:00 PM,DAL,DET,FSSW-DAL,135,2.3,4,61,78,FSD,150,1.8,3,33,33,,
373,Wed,12/17/2014,7:30:00 PM,7:30:00 PM,UTA,MIA,ROOT,165,2.54,5.4,22.8,,SunSpM,165,4.4,7,72,99,,
374,Wed,12/17/2014,8:00:00 PM,8:00:00 PM,BRK,TOR,YES,150,0.6,1,42,60,,,,,,,ESPN,
375,Wed,12/17/2014,8:30:00 PM,7:30:00 PM,MEM,SAS,SSO-MEM,195,4.9,6.846153846,32.23076923,,FSSW-SA,195,9.2,15,84,,,
376,Wed,12/17/2014,10:00:00 PM,7:00:00 PM,MIL,POR,FSNWI,150,0.9,2,8,,CSN-POR,150,4.7,8,54,81,,
377,Wed,12/17/2014,10:30:00 PM,7:30:00 PM,IND,LAC,FSI,165,2.2,5,24,,FSNP,165,1.5,3,84,121,,
378,Wed,12/17/2014,10:30:00 PM,8:30:00 PM,HOU,DEN,CSN-H,195,1,2,24,36,ASE,180,0.8,2,12,15,ESPN,
379,Thu,12/18/2014,8:00:00 PM,7:00:00 PM,NYK,CHI,,,,,,,,,,,,,TNT,
380,Thu,12/18/2014,8:30:00 PM,7:30:00 PM,NOP,HOU,FSNO,150,1.93,3,12.3,,CSN-H,150,1.9,3,44,68,,
381,Thu,12/18/2014,10:00:00 PM,7:00:00 PM,MIL,SAC,FSNWI,150,1.7,3,15,,CSN-S,150,2.46,3.9,33.1,52.8,,
382,Thu,12/18/2014,10:30:00 PM,7:30:00 PM,OKC,GSW,FSOK,150,4.98,9.6,35.1,,,,,,,,TNT,
383,Fri,12/19/2014,7:00:00 PM,7:00:00 PM,UTA,ORL,ROOT,150,2.48,5.7,22.3,,FSFL,150,0.7,1,10,15,,
384,Fri,12/19/2014,7:00:00 PM,7:00:00 PM,CHA,PHI,SSO-CHA,150,0.91,1.6,10.6,12.7,CSN-P,150,0.3,1,9,10,,
385,Fri,12/19/2014,7:30:00 PM,7:30:00 PM,MIN,BOS,FSNN-MIN,135,1.3,3,22,31,CSN-NE,135,1.9,3,47,57,,
386,Fri,12/19/2014,7:30:00 PM,7:30:00 PM,BRK,CLE,YES,150,0.6,1,43,38,FSO,150,7.3,13,107,153,,
387,Fri,12/19/2014,7:30:00 PM,7:30:00 PM,TOR,DET,,,,,,,FSD+,150,0.9,1,17,18,,
388,Fri,12/19/2014,7:30:00 PM,7:30:00 PM,WAS,MIA,CSN-W,165,2.5,5,60,82,SunSpM,165,4.3,8,71,105,,
389,Fri,12/19/2014,8:00:00 PM,7:00:00 PM,CHI,MEM,WPWR,150,5.5,10,191,285,SSO-MEM,150,6.35,9.2,41.4,,,
390,Fri,12/19/2014,8:00:00 PM,7:00:00 PM,POR,SAS,CSN-POR,210,2.4,5,28,36,FSSW-SA,195,5.8,10,53,,ESPN,
391,Fri,12/19/2014,9:00:00 PM,7:00:00 PM,LAC,DEN,FSNP,165,1,2,53,74,ASE,150,1,2,16,22,,
392,Fri,12/19/2014,10:30:00 PM,7:30:00 PM,OKC,LAL,FSOK,150,5.79,11.6,40.9,,TWC SN/TWC D,150,1.6,3,91,124,ESPN,
393,Sat,12/20/2014,1:00:00 PM,1:00:00 PM,PHX,NYK,FSA,135,0.8,2,14,19,MSG,150,1,2,72,83,,
394,Sat,12/20/2014,7:00:00 PM,6:00:00 PM,POR,NOP,CSN-POR,150,4.1,8,47,67,FSNO,150,0.44,1,2.8,,,
395,Sat,12/20/2014,7:00:00 PM,7:00:00 PM,UTA,CHA,ROOT,150,1.52,3.3,13.7,,SSO-CHA,150,0.9,1.6,10.6,15,,
396,Sat,12/20/2014,8:00:00 PM,7:00:00 PM,ATL,HOU,SSO-ATL,150,2.2,4,50,68,CSN-H,150,1.1,2,26,43,,
397,Sat,12/20/2014,8:30:00 PM,7:30:00 PM,SAS,DAL,KMYS,135,8,14,73,,FSSW-DAL,150,5.1,9,132,185,,
398,Sat,12/20/2014,9:00:00 PM,7:00:00 PM,IND,DEN,FSI,150,2.1,4,23,,ASE,150,0.9,2,14,20,,
399,Sat,12/20/2014,10:30:00 PM,7:30:00 PM,MIL,LAC,FSNWI,150,1.2,2,11,,FSNP,150,1.1,2,60,103,,
400,Sun,12/21/2014,3:30:00 PM,3:30:00 PM,NYK,TOR,MSG,150,0.6,1,46,41,,,,,,,,
401,Sun,12/21/2014,4:30:00 PM,4:30:00 PM,MEM,CLE,SSO-MEM,150,3.71,5.6,24.1,,FSO,135,7.2,12,106,177,,
402,Sun,12/21/2014,6:00:00 PM,3:00:00 PM,LAL,SAC,TWC SN/TWC D,150,1.3,3,70,109,CSN-S,165,1.5,3,21,36,,
403,Sun,12/21/2014,6:00:00 PM,6:00:00 PM,DET,BRK,FSD+,150,0.9,1,17,23,YES,150,0.5,1,27,30,,
404,Sun,12/21/2014,6:00:00 PM,6:00:00 PM,BOS,MIA,CSN-NE,150,2.2,4,52,81,SunSpM,165,3.3,6,54,84,,
405,Sun,12/21/2014,6:00:00 PM,6:00:00 PM,PHI,ORL,CSN-P,150,0.5,1,14,29,FSFL,165,0.3,,4,5,NBA TV,
406,Sun,12/21/2014,6:00:00 PM,6:00:00 PM,PHX,WAS,FSA,150,1.1,2,20,27,CSN-W,150,1.3,2,32,48,,
407,Sun,12/21/2014,7:00:00 PM,6:00:00 PM,IND,MIN,FSI,150,2.3,4,25,,FSNN-MIN,150,0.7,1,12,12,,
408,Sun,12/21/2014,7:00:00 PM,6:00:00 PM,NOP,OKC,FSNO,150,0.89,1.3,5.6,,FSOK,150,7.35,11.2,51.7,,,
409,Mon,12/22/2014,7:00:00 PM,7:00:00 PM,DEN,CHA,ASE,150,0.3,,4,4,SSO-CHA,150,1.03,1.4,11.8,15,,
410,Mon,12/22/2014,8:00:00 PM,7:00:00 PM,TOR,CHI,,,,,,,CSN-C,165,4.9,8,170,224,,
411,Mon,12/22/2014,8:00:00 PM,7:00:00 PM,POR,HOU,KGW,150,7.2,15,83,116,CSN-H,150,1.7,3,39,63,,
412,Mon,12/22/2014,8:00:00 PM,7:00:00 PM,UTA,MEM,ROOT,150,3.11,6.1,27.8,,SSO-MEM,150,3.48,4.5,22.7,,,
413,Mon,12/22/2014,8:30:00 PM,7:30:00 PM,ATL,DAL,SSO-ATL,150,1.8,3,42,57,FSSW-DAL,150,2.7,4,69,101,,
414,Mon,12/22/2014,8:30:00 PM,7:30:00 PM,LAC,SAS,FSW-LAC,150,1.1,2,61,79,FSSW-SA,150,8.6,14,79,,,
415,Mon,12/22/2014,10:30:00 PM,7:30:00 PM,SAC,GSW,CSN-S,150,2.3,4,31,41,CSN-BA,150,4,7,100,159,,
416,Tue,12/23/2014,7:00:00 PM,7:00:00 PM,MIN,CLE,FSNN-MIN,150,1.3,6,27,39,FSO,150,9.7,15,143,230,,
417,Tue,12/23/2014,7:00:00 PM,7:00:00 PM,NOP,IND,FSNO,150,1.27,2,8.11,,FSI,135,3,5,33,,,
418,Tue,12/23/2014,7:00:00 PM,7:00:00 PM,BOS,ORL,CSN-NE,150,1.5,3,36,44,FSFL,150,0.7,1,11,13,,
419,Tue,12/23/2014,7:00:00 PM,7:00:00 PM,CHI,WAS,CSN-C,150,4.6,8,158,228,CSN-W+,150,1.1,2,25,33,,
420,Tue,12/23/2014,7:30:00 PM,7:30:00 PM,LAC,ATL,FSNP,165,1.2,3,66,81,SSO-ATL,165,2.8,4,65,93,,
421,Tue,12/23/2014,7:30:00 PM,7:30:00 PM,DEN,BRK,ASE,135,0.8,2,12,18,YES,150,0.6,1,44,64,,
422,Tue,12/23/2014,7:30:00 PM,7:30:00 PM,PHI,MIA,CSN-P,165,0.7,1,22,32,SunSpM,165,4.5,8,73,97,,
423,Tue,12/23/2014,8:00:00 PM,7:00:00 PM,CHA,MIL,SSO-CHA,150,1.4,2.36,16.18,20.4,FSNWI,165,1.4,2,13,,,
424,Tue,12/23/2014,8:00:00 PM,7:00:00 PM,POR,OKC,CSN-POR,150,4.3,9,50,78,FSOK,165,8.66,14.18,61.09,,,
