Entering,Season,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2014-7-30,2013-14,0.463414634,0.304878049,0.536585366,0.524390244,0.585365854,0.402439024,0.597560976,0.43902439,0.353658537,0.62195122,0.658536585,0.682926829,0.695121951,0.329268293,0.609756098,0.658536585,0.182926829,0.487804878,0.414634146,0.451219512,0.719512195,0.280487805,0.231707317,0.585365854,0.658536585,0.341463415,0.756097561,0.585365854,0.304878049,0.536585366
2014-7-31,2013-14,0.463414634,0.304878049,0.536585366,0.524390244,0.585365854,0.402439024,0.597560976,0.43902439,0.353658537,0.62195122,0.658536585,0.682926829,0.695121951,0.329268293,0.609756098,0.658536585,0.182926829,0.487804878,0.414634146,0.451219512,0.719512195,0.280487805,0.231707317,0.585365854,0.658536585,0.341463415,0.756097561,0.585365854,0.304878049,0.536585366
2014-8-1,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-2,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-3,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-4,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-5,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-6,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-7,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-8,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-9,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-10,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-11,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-12,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-13,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-14,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-15,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-16,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-17,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-18,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-19,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-20,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-21,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-22,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-23,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-24,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-25,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-26,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-27,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-28,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-29,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-30,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-8-31,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-1,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-2,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-3,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-4,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-5,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-6,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-7,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-8,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-9,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-10,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-11,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-12,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-13,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-14,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-15,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-16,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-17,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-18,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-19,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-20,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-21,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-22,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-23,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-24,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-25,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-26,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-27,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-28,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-29,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-9-30,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-1,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-2,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-3,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-4,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-5,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-6,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-7,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-8,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-9,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-10,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-11,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-12,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-13,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-14,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-15,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-16,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-17,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-18,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-19,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-20,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-21,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-22,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-23,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-24,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-25,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-26,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-27,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-28,2014-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-10-29,2014-15,-,-,-,-,-,-,0,-,-,-,1,-,-,0,-,-,-,-,1,-,-,0,-,-,-,-,1,-,-,-
2014-10-30,2014-15,0,1,0,1,1,-,0,1,0,1,1,1,-,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
2014-10-31,2014-15,0,1,0,1,1,0,0.5,1,0,1,1,1,1,0,1,1,0,0.5,1,0.5,0,0,0,1,1,0,1,1,0,0.5
2014-11-1,2014-15,0,1,0,1,0.5,0.5,0.5,1,0,1,1,0.5,1,0,1,1,0.5,0.5,1,0.5,0,0,0,1,0.5,0.5,0.5,1,0,0.5
2014-11-2,2014-15,0.5,0.5,0.5,0.5,0.666666667,0.5,0.666666667,0.5,0,1,1,0.333333333,1,0,1,1,0.333333333,0.333333333,0.5,0.5,0.333333333,0,0,0.666666667,0.5,0.5,0.5,1,0.333333333,0.666666667
2014-11-3,2014-15,0.5,0.5,0.5,0.333333333,0.666666667,0.5,0.666666667,0.5,0,1,1,0.333333333,0.666666667,0,1,1,0.333333333,0.333333333,0.5,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0.666666667,0.5,0.666666667,0.333333333,0.666666667
2014-11-4,2014-15,0.5,0.333333333,0.666666667,0.333333333,0.666666667,0.5,0.75,0.333333333,0,1,1,0.333333333,0.75,0,1,1,0.333333333,0.333333333,0.333333333,0.666666667,0.25,0,0,0.666666667,0.333333333,0.75,0.5,0.666666667,0.25,0.666666667
2014-11-5,2014-15,0.5,0.333333333,0.666666667,0.25,0.75,0.333333333,0.75,0.333333333,0,1,1,0.25,0.75,0,1,0.75,0.5,0.333333333,0.5,0.5,0.2,0,0,0.75,0.5,0.75,0.5,0.75,0.25,0.75
2014-11-6,2014-15,0.333333333,0.25,0.5,0.4,0.8,0.25,0.75,0.25,0.25,1,1,0.2,0.6,0,1,0.6,0.4,0.5,0.5,0.4,0.2,0.2,0,0.6,0.5,0.8,0.666666667,0.8,0.4,0.8
2014-11-7,2014-15,0.333333333,0.25,0.5,0.4,0.8,0.25,0.6,0.25,0.25,1,1,0.2,0.6,0,1,0.6,0.4,0.5,0.5,0.4,0.2,0.2,0,0.6,0.6,0.8,0.5,0.8,0.4,0.8
2014-11-8,2014-15,0.25,0.4,0.6,0.5,0.833333333,0.4,0.666666667,0.2,0.4,1,1,0.166666667,0.6,0,1,0.6,0.333333333,0.4,0.5,0.333333333,0.166666667,0.333333333,0,0.5,0.6,0.833333333,0.5,0.833333333,0.333333333,0.666666667
2014-11-9,2014-15,0.4,0.5,0.6,0.5,0.714285714,0.4,0.666666667,0.2,0.4,1,0.857142857,0.142857143,0.666666667,0,0.857142857,0.666666667,0.428571429,0.333333333,0.6,0.285714286,0.166666667,0.333333333,0,0.5,0.5,0.833333333,0.4,0.833333333,0.333333333,0.714285714
2014-11-10,2014-15,0.4,0.5,0.666666667,0.428571429,0.714285714,0.4,0.571428571,0.166666667,0.333333333,0.833333333,0.857142857,0.142857143,0.666666667,0.166666667,0.857142857,0.714285714,0.428571429,0.333333333,0.6,0.285714286,0.285714286,0.285714286,0,0.571428571,0.571428571,0.714285714,0.4,0.857142857,0.428571429,0.714285714
2014-11-11,2014-15,0.5,0.5,0.666666667,0.428571429,0.75,0.5,0.571428571,0.166666667,0.285714286,0.833333333,0.857142857,0.25,0.571428571,0.166666667,0.857142857,0.714285714,0.428571429,0.333333333,0.5,0.25,0.285714286,0.285714286,0,0.571428571,0.571428571,0.714285714,0.5,0.857142857,0.375,0.714285714
2014-11-12,2014-15,0.5,0.5,0.666666667,0.375,0.75,0.5,0.625,0.166666667,0.285714286,0.714285714,0.857142857,0.25,0.571428571,0.142857143,0.875,0.714285714,0.5,0.333333333,0.5,0.25,0.25,0.25,0,0.571428571,0.625,0.625,0.571428571,0.875,0.375,0.714285714
2014-11-13,2014-15,0.571428571,0.428571429,0.571428571,0.375,0.75,0.5,0.625,0.142857143,0.25,0.714285714,0.875,0.333333333,0.571428571,0.125,0.875,0.625,0.5,0.285714286,0.571428571,0.222222222,0.333333333,0.333333333,0,0.625,0.666666667,0.625,0.571428571,0.875,0.333333333,0.75
2014-11-14,2014-15,0.571428571,0.428571429,0.5,0.375,0.777777778,0.5,0.666666667,0.142857143,0.25,0.75,0.875,0.333333333,0.571428571,0.125,0.888888889,0.625,0.5,0.285714286,0.571428571,0.222222222,0.333333333,0.333333333,0,0.625,0.666666667,0.555555556,0.571428571,0.777777778,0.333333333,0.75
2014-11-15,2014-15,0.625,0.375,0.5,0.444444444,0.777777778,0.571428571,0.666666667,0.25,0.333333333,0.75,0.888888889,0.3,0.571428571,0.111111111,0.888888889,0.555555556,0.444444444,0.25,0.625,0.2,0.3,0.4,0,0.555555556,0.666666667,0.555555556,0.625,0.777777778,0.4,0.75
2014-11-16,2014-15,0.555555556,0.375,0.444444444,0.4,0.7,0.625,0.7,0.25,0.3,0.777777778,0.888888889,0.363636364,0.625,0.111111111,0.9,0.555555556,0.444444444,0.222222222,0.625,0.2,0.3,0.363636364,0,0.5,0.7,0.6,0.555555556,0.8,0.363636364,0.777777778
2014-11-17,2014-15,0.555555556,0.375,0.444444444,0.4,0.7,0.625,0.7,0.222222222,0.3,0.8,0.9,0.363636364,0.625,0.1,0.9,0.5,0.5,0.222222222,0.625,0.272727273,0.272727273,0.363636364,0,0.5,0.7,0.6,0.555555556,0.8,0.363636364,0.777777778
2014-11-18,2014-15,0.555555556,0.333333333,0.4,0.363636364,0.727272727,0.555555556,0.727272727,0.3,0.272727273,0.8,0.818181818,0.363636364,0.555555556,0.1,0.909090909,0.545454545,0.5,0.222222222,0.555555556,0.272727273,0.272727273,0.416666667,0,0.545454545,0.727272727,0.6,0.6,0.8,0.363636364,0.777777778
2014-11-19,2014-15,0.5,0.333333333,0.4,0.363636364,0.727272727,0.555555556,0.727272727,0.3,0.272727273,0.8,0.818181818,0.363636364,0.555555556,0.181818182,0.909090909,0.545454545,0.545454545,0.222222222,0.6,0.25,0.25,0.416666667,0,0.545454545,0.727272727,0.545454545,0.6,0.8,0.416666667,0.777777778
2014-11-20,2014-15,0.5,0.4,0.363636364,0.333333333,0.727272727,0.5,0.75,0.363636364,0.25,0.8,0.75,0.416666667,0.6,0.25,0.833333333,0.545454545,0.583333333,0.3,0.6,0.230769231,0.230769231,0.384615385,0,0.583333333,0.727272727,0.545454545,0.636363636,0.818181818,0.416666667,0.7
2014-11-21,2014-15,0.5,0.4,0.363636364,0.333333333,0.666666667,0.5,0.75,0.363636364,0.25,0.8,0.75,0.416666667,0.636363636,0.25,0.833333333,0.5,0.583333333,0.3,0.6,0.230769231,0.230769231,0.384615385,0,0.583333333,0.727272727,0.583333333,0.636363636,0.818181818,0.416666667,0.7
2014-11-22,2014-15,0.545454545,0.363636364,0.416666667,0.307692308,0.615384615,0.454545455,0.769230769,0.416666667,0.230769231,0.818181818,0.75,0.416666667,0.636363636,0.230769231,0.846153846,0.5,0.538461538,0.272727273,0.545454545,0.230769231,0.214285714,0.428571429,0,0.615384615,0.75,0.583333333,0.666666667,0.833333333,0.384615385,0.727272727
2014-11-23,2014-15,0.545454545,0.363636364,0.384615385,0.307692308,0.615384615,0.416666667,0.714285714,0.416666667,0.230769231,0.818181818,0.769230769,0.384615385,0.636363636,0.230769231,0.846153846,0.538461538,0.5,0.25,0.583333333,0.285714286,0.214285714,0.4,0,0.642857143,0.75,0.615384615,0.692307692,0.846153846,0.357142857,0.75
2014-11-24,2014-15,0.545454545,0.333333333,0.384615385,0.285714286,0.615384615,0.416666667,0.714285714,0.461538462,0.230769231,0.833333333,0.769230769,0.384615385,0.583333333,0.214285714,0.857142857,0.571428571,0.5,0.25,0.583333333,0.285714286,0.2,0.4,0,0.642857143,0.769230769,0.615384615,0.692307692,0.846153846,0.357142857,0.75
2014-11-25,2014-15,0.545454545,0.333333333,0.384615385,0.266666667,0.642857143,0.461538462,0.666666667,0.461538462,0.230769231,0.833333333,0.785714286,0.428571429,0.615384615,0.214285714,0.857142857,0.571428571,0.5,0.25,0.583333333,0.266666667,0.2,0.375,0,0.6,0.785714286,0.615384615,0.692307692,0.857142857,0.333333333,0.75
2014-11-26,2014-15,0.583333333,0.333333333,0.384615385,0.266666667,0.6,0.461538462,0.666666667,0.5,0.214285714,0.846153846,0.785714286,0.428571429,0.615384615,0.214285714,0.857142857,0.533333333,0.533333333,0.25,0.538461538,0.266666667,0.2,0.375,0,0.6,0.785714286,0.642857143,0.692307692,0.857142857,0.333333333,0.692307692
2014-11-27,2014-15,0.538461538,0.333333333,0.428571429,0.25,0.6,0.5,0.6875,0.466666667,0.2,0.857142857,0.8,0.4,0.642857143,0.2,0.866666667,0.533333333,0.5625,0.230769231,0.538461538,0.25,0.25,0.352941176,0,0.625,0.8,0.6,0.714285714,0.866666667,0.3125,0.642857143
2014-11-28,2014-15,0.538461538,0.333333333,0.428571429,0.25,0.6,0.5,0.6875,0.466666667,0.2,0.857142857,0.8,0.4,0.642857143,0.2,0.866666667,0.533333333,0.5625,0.230769231,0.538461538,0.25,0.25,0.352941176,0,0.625,0.8,0.6,0.714285714,0.866666667,0.3125,0.642857143
2014-11-29,2014-15,0.571428571,0.307692308,0.428571429,0.235294118,0.625,0.5,0.705882353,0.5,0.1875,0.866666667,0.75,0.4375,0.666666667,0.1875,0.875,0.533333333,0.588235294,0.285714286,0.5,0.235294118,0.294117647,0.333333333,0,0.588235294,0.75,0.5625,0.733333333,0.8125,0.3125,0.642857143
2014-11-30,2014-15,0.6,0.307692308,0.428571429,0.222222222,0.625,0.533333333,0.722222222,0.5,0.1875,0.866666667,0.764705882,0.411764706,0.6875,0.1875,0.875,0.533333333,0.555555556,0.285714286,0.466666667,0.235294118,0.294117647,0.333333333,0,0.588235294,0.75,0.5625,0.733333333,0.8125,0.294117647,0.666666667
2014-12-1,2014-15,0.6,0.285714286,0.4,0.222222222,0.647058824,0.533333333,0.722222222,0.5,0.176470588,0.875,0.764705882,0.411764706,0.6875,0.235294118,0.882352941,0.5625,0.555555556,0.266666667,0.466666667,0.222222222,0.294117647,0.368421053,0,0.555555556,0.764705882,0.529411765,0.75,0.764705882,0.294117647,0.666666667
2014-12-2,2014-15,0.6,0.285714286,0.4,0.222222222,0.647058824,0.533333333,0.722222222,0.529411765,0.176470588,0.875,0.764705882,0.411764706,0.705882353,0.235294118,0.882352941,0.529411765,0.555555556,0.25,0.466666667,0.222222222,0.294117647,0.368421053,0,0.555555556,0.764705882,0.529411765,0.764705882,0.764705882,0.277777778,0.6875
2014-12-3,2014-15,0.625,0.266666667,0.4375,0.222222222,0.611111111,0.5625,0.736842105,0.5,0.166666667,0.882352941,0.764705882,0.388888889,0.705882353,0.277777778,0.882352941,0.529411765,0.526315789,0.25,0.5,0.210526316,0.277777778,0.35,0,0.578947368,0.777777778,0.5,0.764705882,0.777777778,0.277777778,0.6875
2014-12-4,2014-15,0.647058824,0.3125,0.470588235,0.210526316,0.631578947,0.5625,0.75,0.5,0.157894737,0.882352941,0.777777778,0.388888889,0.722222222,0.263157895,0.833333333,0.5,0.5,0.235294118,0.5,0.210526316,0.277777778,0.333333333,0.055555556,0.578947368,0.777777778,0.5,0.722222222,0.789473684,0.263157895,0.705882353
2014-12-5,2014-15,0.647058824,0.3125,0.470588235,0.210526316,0.631578947,0.588235294,0.75,0.5,0.157894737,0.888888889,0.777777778,0.368421053,0.722222222,0.263157895,0.833333333,0.5,0.5,0.235294118,0.470588235,0.2,0.277777778,0.333333333,0.055555556,0.578947368,0.789473684,0.5,0.722222222,0.789473684,0.263157895,0.705882353
2014-12-6,2014-15,0.666666667,0.352941176,0.444444444,0.25,0.631578947,0.611111111,0.714285714,0.473684211,0.157894737,0.888888889,0.789473684,0.35,0.722222222,0.25,0.789473684,0.473684211,0.523809524,0.222222222,0.470588235,0.19047619,0.315789474,0.363636364,0.052631579,0.6,0.789473684,0.526315789,0.736842105,0.75,0.25,0.722222222
2014-12-7,2014-15,0.666666667,0.352941176,0.444444444,0.25,0.6,0.611111111,0.714285714,0.473684211,0.15,0.894736842,0.8,0.35,0.736842105,0.25,0.789473684,0.473684211,0.523809524,0.210526316,0.444444444,0.19047619,0.315789474,0.391304348,0.1,0.571428571,0.789473684,0.5,0.75,0.75,0.25,0.722222222
2014-12-8,2014-15,0.684210526,0.388888889,0.444444444,0.25,0.6,0.611111111,0.727272727,0.45,0.142857143,0.894736842,0.8,0.35,0.736842105,0.238095238,0.8,0.45,0.5,0.210526316,0.473684211,0.181818182,0.35,0.391304348,0.1,0.571428571,0.8,0.5,0.75,0.75,0.25,0.684210526
2014-12-9,2014-15,0.7,0.368421053,0.421052632,0.25,0.6,0.631578947,0.727272727,0.428571429,0.142857143,0.9,0.8,0.333333333,0.75,0.238095238,0.8,0.45,0.5,0.2,0.473684211,0.181818182,0.35,0.391304348,0.1,0.545454545,0.8,0.523809524,0.75,0.761904762,0.238095238,0.7
2014-12-10,2014-15,0.7,0.368421053,0.421052632,0.25,0.6,0.65,0.695652174,0.428571429,0.136363636,0.9,0.8,0.333333333,0.75,0.272727273,0.80952381,0.476190476,0.47826087,0.2,0.5,0.173913043,0.380952381,0.391304348,0.1,0.52173913,0.80952381,0.5,0.714285714,0.727272727,0.272727273,0.7
2014-12-11,2014-15,0.714285714,0.35,0.4,0.285714286,0.619047619,0.65,0.708333333,0.454545455,0.136363636,0.904761905,0.761904762,0.318181818,0.761904762,0.272727273,0.80952381,0.454545455,0.47826087,0.238095238,0.476190476,0.166666667,0.380952381,0.375,0.095238095,0.52173913,0.772727273,0.5,0.727272727,0.727272727,0.272727273,0.714285714
2014-12-12,2014-15,0.714285714,0.35,0.4,0.285714286,0.619047619,0.619047619,0.708333333,0.454545455,0.136363636,0.904761905,0.772727273,0.318181818,0.761904762,0.272727273,0.80952381,0.454545455,0.47826087,0.238095238,0.476190476,0.166666667,0.409090909,0.375,0.095238095,0.52173913,0.772727273,0.47826087,0.727272727,0.727272727,0.272727273,0.714285714
